budget_fiscal_year,department_name,account,account_name,total_expenditures,account group name
2012,Aging,3040,Contractual Services,14586.42,Expenses
2012,Aging,6010,Office And Administrative,172873.34,Expenses
2012,Aging,7300,"Furniture, Office And Technical Equipment",10283.50,Equipment
2012,Aging,8140,Early Retirement Incentive Program Payout,,Special
2012,Aging,1070,Salaries As Needed,82257.46,Salaries And Benefits
2012,Aging,1090,Overtime General,4876.79,Salaries And Benefits
2012,Aging,2120,Printing And Binding,11901.94,Expenses
2012,Aging,1010,Salaries General,3162499.38,Salaries And Benefits
2012,Aging,2130,Travel,8124.45,Expenses
2012,Aging,3310,Transportation,6010.65,Expenses
2012,Animal Services,6020,Operating Supplies,259844.21,Expenses
2012,Animal Services,1010,Salaries General,18514657.05,Salaries And Benefits
2012,Animal Services,1070,Salaries As Needed,181829.16,Salaries And Benefits
2012,Animal Services,1090,Overtime General,36292.91,Salaries And Benefits
2012,Animal Services,2120,Printing And Binding,39994.70,Expenses
2012,Animal Services,3010,Firearms Ammunition Other Devi,,Expenses
2012,Animal Services,3040,Contractual Services,142140.04,Expenses
2012,Animal Services,3190,Medical Supplies,308062.53,Expenses
2012,Animal Services,3310,Transportation,1350.06,Expenses
2012,Animal Services,4160,Governmental Meetings,,Expenses
2012,Animal Services,4430,Uniforms,27928.54,Expenses
2012,Animal Services,4460,Private Veterinary Care Expense,50028.93,Expenses
2012,Animal Services,4580,Feed And Grain,254594.46,Expenses
2012,Animal Services,6010,Office And Administrative,310874.82,Expenses
2012,Animal Services,8140,Early Retirement Incentive Program Payout,,Special
2012,Building And Safety,2120,Printing And Binding,4788.18,Expenses
2012,Building And Safety,1090,Overtime General,2942999.84,Salaries And Benefits
2012,Building And Safety,1070,Salaries As Needed,30937.80,Salaries And Benefits
2012,Building And Safety,1010,Salaries General,65692501.26,Salaries And Benefits
2012,Building And Safety,8140,Early Retirement Incentive Program Payout,,Special
2012,Building And Safety,3310,Transportation,1523575.50,Expenses
2012,Building And Safety,6010,Office And Administrative,97198.32,Expenses
2012,Building And Safety,6020,Operating Supplies,29999.04,Expenses
2012,Building And Safety,4430,Uniforms,,Expenses
2012,Building And Safety,3040,Contractual Services,199487.90,Expenses
2012,City Administrative Officer,1090,Overtime General,55318.95,Salaries And Benefits
2012,City Administrative Officer,1010,Salaries General,11012043.35,Salaries And Benefits
2012,City Administrative Officer,8140,Early Retirement Incentive Program Payout,,Special
2012,City Administrative Officer,7300,"Furniture, Office And Technical Equipment",46887.13,Equipment
2012,City Administrative Officer,6010,Office And Administrative,277735.89,Expenses
2012,City Administrative Officer,3310,Transportation,5803.75,Expenses
2012,City Administrative Officer,3040,Contractual Services,1133095.89,Expenses
2012,City Administrative Officer,2130,Travel,24948.41,Expenses
2012,City Administrative Officer,1070,Salaries As Needed,20436.95,Salaries And Benefits
2012,City Administrative Officer,2120,Printing And Binding,29711.38,Expenses
2012,City Attorney,9301,City Attorney Outside Counsel,3026084.28,Special
2012,City Attorney,4620,Contingent Expense,2208.87,Expenses
2012,City Attorney,4200,Litigation,5297466.76,Expenses
2012,City Attorney,3310,Transportation,39322.42,Expenses
2012,City Attorney,3040,Contractual Services,1494949.00,Expenses
2012,City Attorney,2130,Travel,1186.52,Expenses
2012,City Attorney,2120,Printing And Binding,214526.59,Expenses
2012,City Attorney,2060,Bar Dues,208725.00,Expenses
2012,City Attorney,1090,Overtime General,2269.05,Salaries And Benefits
2012,City Attorney,1080,Salaries Proprietary,14998651.87,Salaries And Benefits
2012,City Attorney,1020,Grant Reimbursed,3917741.56,Salaries And Benefits
2012,City Attorney,1010,Salaries General,71978293.97,Salaries And Benefits
2012,City Attorney,6010,Office And Administrative,787507.31,Expenses
2012,City Attorney,6020,Operating Supplies,,Expenses
2012,City Attorney,8140,Early Retirement Incentive Program Payout,,Special
2012,City Attorney,9302,Worker'S Comp Outside Counsel,149999.98,Special
2012,City Clerk,3310,Transportation,6000.00,Expenses
2012,City Clerk,1010,Salaries General,7947446.01,Salaries And Benefits
2012,City Clerk,1070,Salaries As Needed,1107324.04,Salaries And Benefits
2012,City Clerk,1090,Overtime General,38345.79,Salaries And Benefits
2012,City Clerk,2120,Printing And Binding,72169.04,Expenses
2012,City Clerk,3040,Contractual Services,763805.90,Expenses
2012,City Clerk,4170,Elections,941310.63,Expenses
2012,City Clerk,6010,Office And Administrative,139699.43,Expenses
2012,City Clerk,8140,Early Retirement Incentive Program Payout,,Special
2012,City Ethics Commission,1090,Overtime General,1.69,Salaries And Benefits
2012,City Ethics Commission,2120,Printing And Binding,3024.24,Expenses
2012,City Ethics Commission,3040,Contractual Services,89712.78,Expenses
2012,City Ethics Commission,3310,Transportation,6000.00,Expenses
2012,City Ethics Commission,6010,Office And Administrative,32549.18,Expenses
2012,City Ethics Commission,8140,Early Retirement Incentive Program Payout,,Special
2012,City Ethics Commission,1010,Salaries General,1683057.36,Salaries And Benefits
2012,City Ethics Commission,1070,Salaries As Needed,7048.50,Salaries And Benefits
2012,City Planning And Development,3040,Contractual Services,1742888.91,Expenses
2012,City Planning And Development,3310,Transportation,1936.59,Expenses
2012,City Planning And Development,6020,Operating Supplies,16057.62,Expenses
2012,City Planning And Development,6010,Office And Administrative,213268.65,Expenses
