Year,Department Title,Job Class Title,Regular Pay,Actual Earnings,Department #
2012,Aging,Sr Clerk Typist,60222.00,59429.00,301
2012,Aging,Accounting Clerk Ii,63590.00,62704.00,301
2012,Aging,Auditor I,58193.00,33114.00,301
2012,Aging,Management Assistant,61011.00,34396.00,301
2012,Aging,Sr Auditor,91016.00,89303.00,301
2012,Aging,Nutritionist,80625.00,78751.00,301
2012,Aging,Clerk Typist,47006.00,12843.00,301
2012,Aging,Sr Clerk Typist,60222.00,59429.00,301
2012,Aging,Pr Accountant Ii,82643.00,79148.00,301
2012,Aging,Asst Gm Dept Of Aging,159769.00,156050.00,301
2012,Aging,Comnty Progrm Asst Ii,66795.00,27363.00,301
2012,Aging,Management Analyst Ii,83750.00,36830.00,301
2012,Aging,Secretary,65457.00,65301.00,301
2012,Aging,Management Assistant,61011.00,57205.00,301
2012,Aging,Management Assistant,61011.00,57068.00,301
2012,Aging,Exec Admin Asst Iii,84422.00,80362.00,301
2012,Aging,Accountant Ii,67359.00,63009.00,301
2012,Aging,Management Analyst I,72767.00,68296.00,301
2012,Aging,Comnty Progrm Asst Ii,66795.00,62297.00,301
2012,Aging,Exec Admin Asst Iii,83614.00,7632.00,301
2012,Aging,Accountant Ii,67359.00,62188.00,301
2012,Aging,Comnty Progrm Asst Ii,66795.00,61495.00,301
2012,Aging,Auditor I,72287.00,66804.00,301
2012,Aging,Gen Mgr Dept Of Aging,169232.00,169792.00,301
2012,Aging,Management Analyst Ii,85838.00,80334.00,301
2012,Aging,Management Analyst Ii,85838.00,80231.00,301
2012,Aging,Sr Mgmt Analyst I,90953.00,70454.00,301
2012,Aging,Personnel Analyst Ii,85838.00,79856.00,301
2012,Aging,Comnty Progrm Asst Iii,80325.00,74148.00,301
2012,Aging,Management Analyst Ii,85838.00,73705.00,301
2012,Aging,Sr Mgmt Analyst Ii,125593.00,118409.00,301
2012,Aging,Sr Accountant Ii,84668.00,77758.00,301
2012,Aging,Management Analyst I,72767.00,65790.00,301
2012,Aging,Management Analyst Ii,85838.00,78837.00,301
2012,Aging,Management Analyst Ii,85838.00,78643.00,301
2012,Aging,Management Analyst Ii,85838.00,78621.00,301
2012,Aging,Social Worker Iii,101372.00,90445.00,301
2012,Aging,Management Analyst Ii,85838.00,78487.00,301
2012,Aging,Sr Mgmt Analyst I,101372.00,93195.00,301
2012,Aging,Sr Mgmt Analyst I,101372.00,93079.00,301
2012,Aging,Sr Systems Analyst I,101498.00,93140.00,301
2012,Aging,Social Worker Ii,85838.00,77107.00,301
2012,Aging,Sr Mgmt Analyst I,101372.00,91515.00,301
2012,Aging,Auditor I,72287.00,62206.00,301
2012,Airports,Plasterer,78866.00,78405.00,101
2012,Airports,Custodian/Ap,44683.00,50788.00,101
2012,Airports,Airport Police Sgt,108051.00,114212.00,101
2012,Airports,Plumber Ii - Hh,86046.00,92201.00,191
2012,Airports,Arpt Supt Of Oper I,60552.00,66721.00,101
